,City,Country,Lat,Lng,Temp,Humidity,Wind Speed,Cloudiness
453,tilichiki,RU,60.47,166.1,24.42,97,6.78,95
454,eshowe,ZA,-28.89,31.47,56.39,100,3.89,100
455,perth,AU,-31.93,115.83,62.17,88,10.29,90
456,do gonbadan,IR,30.36,50.8,60.8,37,1.88,0
457,agirish,RU,61.92,63.02,31.84,98,9.64,100
458,abnub,EG,27.27,31.15,75.2,64,13.87,0
459,tombouctou,ML,20.0,-3.0,87.53,12,5.48,100
460,arlit,NE,18.74,7.39,81.73,18,18.97,0
461,uvarovka,RU,55.53,35.61,41.77,90,7.29,51
462,praia da vitoria,PT,38.73,-27.07,70.45,88,13.73,40
463,arraial do cabo,BR,-22.97,-42.03,71.6,88,8.05,75
464,tuatapere,NZ,-46.13,167.68,55.0,71,5.01,25
465,manta,EC,-0.95,-80.73,78.8,74,10.29,75
466,torgau,DE,51.57,13.0,53.6,100,4.7,0
467,lakes entrance,AU,-37.88,147.98,55.0,94,7.9,37
468,matehuala,MX,23.65,-100.65,78.06,18,2.91,0
469,zeya,RU,53.75,127.27,29.03,91,11.99,100
470,egvekinot,RU,66.32,-179.17,12.69,82,5.12,0
471,baykit,RU,61.67,96.37,0.86,89,2.62,72
472,angoche,MZ,-16.23,39.91,77.5,74,2.15,99
473,salinopolis,BR,-0.61,-47.36,82.92,73,12.75,47
474,virarajendrapet,IN,12.2,75.8,64.87,97,2.77,91
475,bambanglipuro,ID,-7.95,110.28,75.22,89,3.96,29
476,acapulco,MX,16.86,-99.89,87.8,66,6.93,40
477,kingston,JM,18.0,-76.79,82.67,79,8.05,75
478,singaraja,ID,-8.11,115.09,78.62,75,4.14,100
479,abalak,RU,58.13,68.59,34.9,90,11.01,100
480,margate,GB,51.38,1.39,51.01,83,3.0,50
481,buraydah,SA,26.33,43.98,69.8,28,2.24,0
482,flinders,AU,-34.58,150.86,60.69,87,7.0,99
483,brezno,SK,48.8,19.64,44.01,59,1.99,48
484,shimanovsk,RU,52.0,127.7,32.56,97,8.86,100
485,seredka,RU,58.16,28.19,42.8,93,2.24,0
486,shetpe,KZ,44.17,52.12,54.45,34,12.71,76
487,paamiut,GL,61.99,-49.67,27.95,89,13.31,61
488,coahuayana,MX,18.73,-103.68,84.2,66,9.17,40
489,svetlogorsk,BY,52.63,29.73,46.81,91,10.65,100
490,santa adelia,BR,-21.24,-48.8,76.87,59,17.02,89
491,yerbogachen,RU,61.28,108.01,1.13,92,2.89,0
492,luena,AO,-11.78,19.92,64.69,79,1.9,37
493,teya,RU,60.38,92.63,11.64,90,5.21,100
494,kavieng,PG,-2.57,150.8,83.01,76,11.14,5
495,katsuura,JP,35.13,140.3,51.8,76,8.05,0
496,wagga wagga,AU,-35.12,147.37,48.56,100,2.75,0
497,norrtalje,SE,59.76,18.7,49.96,90,7.0,68
498,morada nova,BR,-5.11,-38.37,90.21,45,12.26,100
499,loubomo,CG,-4.2,12.67,74.14,94,5.46,100
500,virginia beach,US,36.85,-75.98,56.1,50,9.17,75
501,la tijera,MX,19.9,-104.4,72.34,70,3.89,18
502,kawardha,IN,22.02,81.25,69.6,42,5.14,0
503,valparaiso,CL,-33.04,-71.63,55.36,100,6.93,90
504,teknaf,BD,20.86,92.31,76.42,92,6.2,100
505,krasnorechenskiy,RU,44.63,135.35,36.05,88,2.95,86
506,pacific grove,US,36.62,-121.92,71.53,31,6.93,20
507,apango,MX,17.73,-99.33,86.0,41,3.42,3
508,itaguai,BR,-22.85,-43.78,69.8,88,13.87,90
509,dobrokoz,HU,46.42,18.24,52.0,82,5.99,98
510,sobolevo,RU,54.43,31.9,45.41,83,10.87,100
511,iskateley,RU,67.68,53.15,33.73,92,14.81,98
512,klaksvik,FO,62.23,-6.59,48.2,100,6.93,97
513,geraldton,AU,-28.77,114.6,68.0,68,14.99,75
514,loukhi,RU,66.08,33.04,28.29,94,6.08,35
515,sao filipe,CV,14.9,-24.5,80.51,63,12.46,71
516,barcelona,ES,41.39,2.16,60.8,93,6.93,20
517,yulara,AU,-25.24,130.99,66.2,26,5.82,0
518,lodja,CD,-3.48,23.43,70.75,90,2.33,0
519,freeport,US,40.66,-73.58,45.52,48,8.05,1
520,kupang,ID,-10.17,123.58,78.89,76,4.05,78
521,krasnoselkup,RU,65.7,82.47,31.68,99,19.39,100
522,port shepstone,ZA,-30.74,30.45,63.37,81,3.87,100
523,kieta,PG,-6.22,155.63,79.92,79,1.12,37
524,labuhan,ID,-6.88,112.21,75.0,92,7.99,100
525,la asuncion,VE,11.03,-63.86,83.77,76,14.38,94
526,quatre cocos,MU,-20.21,57.76,65.57,82,5.82,40
527,beckley,US,37.78,-81.19,53.19,50,11.41,1
528,high level,CA,58.52,-117.14,26.6,86,6.93,75
529,kushiro,JP,42.98,144.37,42.3,83,3.51,54
530,nave,IT,45.59,10.29,52.84,76,3.36,75
531,copiapo,CL,-27.37,-70.33,64.4,59,11.41,0
532,lavrentiya,RU,65.58,-171.0,20.3,91,8.46,49
533,half moon bay,US,37.46,-122.43,69.21,72,4.7,5
534,bokovskaya,RU,49.23,41.83,55.24,79,13.71,100
535,hawalli,KW,29.28,48.0,69.8,64,4.7,5
536,korla,CN,41.76,86.15,38.39,67,1.92,0
537,chiquinquira,CO,5.62,-73.82,59.58,95,2.66,87
538,novobirilyussy,RU,56.95,90.67,26.28,98,6.02,97
539,san quintin,MX,30.48,-115.95,76.28,40,7.92,52
